id,created_at,text
540765809191051264,2014-12-05 07:13:10,Its not just about your family its about taking care of the world and healing your family worldwide we are family dont tell me dif - Lil B
540735019975577601,2014-12-05 05:10:49,I love life and earth DM ME your plans for the night and how you feel about your life and your thoughts on it - Lil B
540636197069279232,2014-12-04 22:38:08,"EVERYBODYS LIFE IS SO BEAUTIFUL, EACH AND EVERY PERSON HOLDS A SPECIAL PLACE IN THIS TIME AND ON EARTH, UNTIL FURTHER SEASONS LOVE U - Lil B"
540615532228407296,2014-12-04 21:16:01,LOVE IS AROUND US AND I LOVE YOU - Lil B
540613327391436801,2014-12-04 21:07:16,IM SO HAPPY YOUR ALIVE TODAY AND IMA TELL YOU THAT UNTIL YOU REALIZE THAT PEOPLE ON EARTH WERE BORN WITH LOVE AND LOVE IS AROUND US - Lil B
540590278822744064,2014-12-04 19:35:40,"Im glad your alive today and you woke up beautiful, im talking to the men and women around the world, remember Lil B loves you - Lil B"
540357198035943424,2014-12-04 04:09:30,NEED LIL B MUSIC PLEASE!! - Lil B
540300044629315584,2014-12-04 00:22:23,"Any girl or person that feels they are ugly or unhappy with your weight, please remember i love you and really appreciate you smile - Lil B"
540260773184823296,2014-12-03 21:46:20,Lil wayne best rapper alive - Lil B
540230983111675904,2014-12-03 19:47:58,Also we need to take animals in as brothers or sisters friends and family not as pets raise animals to let them see human alliance - Lil B
540228033115082753,2014-12-03 19:36:14,"Love is real because we are alive today you are created from honesty and love wether imbedded within or from the outside, I LOVE YOU - Lil B"
539986949633605632,2014-12-03 03:38:15,Who boo boos - Lil B
539985405802590209,2014-12-03 03:32:07,Love yall real family i see you real Lil B art collectors - Lil B
539926147895533569,2014-12-02 23:36:39,"Thank you for going to work today even when you may be sick or feel underpaid, you are so special and you keep earths people full - Lil B"
539896941115486208,2014-12-02 21:40:36,"I want to thank all the workers who pick up and clean trash daily, or to the people who recycle and figure ways to serve earth LOVE - Lil B"
539591288459251713,2014-12-02 01:26:02,"Im so happy to be alive and you to read this thank you Lil b for changing the world and spreading love and smiles, i owe the world - Lil B"
539476852855693312,2014-12-01 17:51:19,SHOUTS OUT TO ALL THE METEOROLOGIST AROUND THE WORLD!! I LOVE YOU!!!!! HAVE A GREAT DAY!!! ALSO IF YOUR BREATHING THANK YOU - Lil B
538553750344839168,2014-11-29 04:43:14,"If somebody makes you feel bad for not wanting to have sex they may not be your friend, hanging out does not mean sex! Dont feel bad - Lil B"
538550031268069376,2014-11-29 04:28:27,"Its cool to NOT have sex and it shows that you dont follow what everyone else does or what you may think is cool, sex = weird - Lil B"
538488324843773952,2014-11-29 00:23:15,"Please think twice before you have sex! To all my younger fans and older that support Lil B, sex is very weird be mature  and wait - Lil B"
538135352859705344,2014-11-28 01:00:40,THANK YOU LIL B - Lil B
538118664005111808,2014-11-27 23:54:21,"OMG I FOLLOWED 1,000,032 PEOPLE WITH MY HANDS AND I FOLLOWED THEM PERSONALLY MYSELF, THANK YOU LIL B PAT ON MY AMAZING CUTIE BACK - Lil B"
538117749323468800,2014-11-27 23:50:43,"999,977 PEOPLE I HAVE FOLLOWED BY HAND!!!!!!!! ITS ABOUT TO BE 1 MILLION PEOPLE I HAVE CHOSEN BY MYSELF PERSONALLY BY HAND TO FOLLOW - Lil B"
538112368459264001,2014-11-27 23:29:20,WHO LOVES LIL B!!! - Lil B
538110636748992512,2014-11-27 23:22:28,"WHAT TIME WILL IT BE WHEN LIL B FOLLOWS 1 MILLION PEOPLE ??? LIL B FOLLOWED 1 MILLION PEOPLE WITH HIS BARE HANDS, BLESS THIEH - Lil B"
538110014410346497,2014-11-27 23:19:59,ANYBODY THAT DOSENT LIKE LIL B ART/MUSIC OR REALLY DEEP DOWN DOSENT CARE FOR LIL B MUSIC UNFOLLOW ME ASAP! PLEASE!! YOU DONT DESERVE - Lil B
